,소재지전체주소,소재지,x,y
230,"부산광역시 중구 광복동2가 44-3번지 (1,2층) ",부산광역시 중구 광복동2가 44-3번지 ,129.031588,35.09898389
231,부산광역시 중구 부평동2가 35-5번지 ,부산광역시 중구 부평동2가 35-5번지 ,129.0259625,35.09905643
232,부산광역시 중구 보수동2가 118-1번지 (1층) ,부산광역시 중구 보수동2가 118-1번지 ,129.024537,35.10348881
233,부산광역시 중구 부평동2가 47-10번지 ,부산광역시 중구 부평동2가 47-10번지 ,129.025257,35.09872938
234,부산광역시 중구 보수동1가 93-4번지 ,부산광역시 중구 보수동1가 93-4번지 ,129.0255853,35.10366594
235,부산광역시 중구 부평동4가 7-3번지 ,부산광역시 중구 부평동4가 7-3번지 ,129.0233975,35.10246247
236,부산광역시 중구 남포동5가 80-1번지 ,부산광역시 중구 남포동5가 80-1번지 ,129.0293033,35.09740726
237,부산광역시 중구 부평동1가 39-13번지 (1층) ,부산광역시 중구 부평동1가 39-13번지 ,129.0266025,35.09921876
238,부산광역시 중구 부평동3가 42-1번지 (지하1층) ,부산광역시 중구 부평동3가 42-1번지 ,129.0246311,35.10090987
239,부산광역시 중구 부평동2가 7-3번지 ,부산광역시 중구 부평동2가 7-3번지 ,129.0264506,35.10247634
240,부산광역시 중구 부평동1가 41-21번지 ,부산광역시 중구 부평동1가 41-21번지 ,129.026423,35.09905594
241,부산광역시 중구 부평동2가 65-5번지 (2층) ,부산광역시 중구 부평동2가 65-5번지 ,129.0256875,35.10070838
242,부산광역시 중구 광복동2가 20번지 (3층) ,부산광역시 중구 광복동2가 20번지 ,129.0327277,35.09895757
243,부산광역시 중구 부평동3가 72-20번지 (지하1층) ,부산광역시 중구 부평동3가 72-20번지 ,129.0243115,35.10200022
244,부산광역시 중구 부평동2가 37-8번지 ,부산광역시 중구 부평동2가 37-8번지 ,129.0257929,35.09858345
